source_id,survey,wave,original_name,section,description,answer_categories_and_codes,filter,anonymisation_rule,source_document,source_location,extraction_method,review_status
EHIS-W2-ANON-RULES,EHIS,2,PID,,Identification number of respondent,10-digit number – 1 missing,Everybody,unaltered,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,HHID,,Identification number of household,10-digit number – 1 missing,Everybody,unaltered,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,PRIMSTRAT,,Primary strata as used in the selection of the sample,0001 – 9999 – 2 not applicable (no stratification),Everybody,removed,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,PSU,,Primary sampling units as used in the selection of the sample,0001 – 9999 – 2 not applicable (no multistage sampling),Everybody,removed,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,WGT,,Final individual weight,Number 5.3 – 1 missing,Everybody,unaltered,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,PROXY,,Was the selected person interviewed or someone else (proxy interview),1 Person himself/herself 2 Other member of the household 3 Someone else outside the household – 1 missing,Everybody,unaltered,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,REFYEAR,,Reference year of the interview,4 digits,Everybody,unaltered Country-specific rule for: • ES: REFYEAR removed,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,REFMONTH,,Reference month of the interview,1 – 12 – 1 missing,Everybody,unaltered Country-specific rule for: • ES: REFMONTH removed • MT and IE: REFMONTH grouped into quarters,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 1,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,INTMETHOD,,Data collection method used,"10 Postal, non-electronic version 11 Postal, electronic version (e-mail) 20 Face-to-face, non-electronic version 21 Face-to-face, electronic version 30 Telephone, non-electronic version 31 Telephone, electronic version 40 Use of internet 50 Mixed mode collection (e.g.: both postal and interview to collect data)",Everybody,unaltered,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 2,PDF word coordinates,EXTRACTED_UNREVIEWED
EHIS-W2-ANON-RULES,EHIS,2,INTLANG,,Language used for interview,3-digit codes (Standard Code List Eurostat) – 1 missing,Everybody,removed,EHIS wave 2 variables and anonymisation rules.docx.pdf,page 2,PDF word coordinates,EXTRACTED_UNREVIEWED
